stratum,candidate_id,title,year,venue,source,doi,url,agent_decision,agent_reason_code,agent_reason_detail,tier,total_score,human_decision,human_notes
include_tier_A,FT-0083,Experimental Possibilities of Decentralized Health Information System Interoperability Using Blockchain Technology,2024,2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),ieee,10.1109/ICSCNA63714.2024.10863833,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863833,include,,,A,7,,
include_tier_A,FT-0308,Blockchain and Smart Public Procurement Contracts: A Comparative Legal Analysis of Digital Transformation in the Public Sector,2025,Access to Justice in Eastern Europe,openalex,10.33327/ajee-18-8.4-a000137,https://doi.org/10.33327/ajee-18-8.4-a000137,include,,,A,6,,
include_tier_A,FT-0367,"EmbryoTrust: A Blockchain-Based Framework for Trustworthy, Secure, and Ethical In Vitro Fertilization Data Management and Fertility Preservation",2025,Electronics,openalex,10.3390/electronics14234648,https://doi.org/10.3390/electronics14234648,include,,,A,6,,
include_tier_A,FT-0018,SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,2024,arXiv,arxiv,10.48550/arXiv.2403.08068v1,http://arxiv.org/abs/2403.08068v1,include,,,A,6,,
include_tier_A,FT-0340,Online exam cheating detection and blockchain trusted deposit based on YOLOv12,2025,Scientific Reports,openalex,10.1038/s41598-025-18412-0,https://doi.org/10.1038/s41598-025-18412-0,include,,,A,6,,
include_tier_B,FT-0373,"Blockchain integration in healthcare: a comprehensive investigation of use cases, performance issues, and mitigation strategies",2024,Frontiers in Digital Health,openalex,10.3389/fdgth.2024.1359858,https://doi.org/10.3389/fdgth.2024.1359858,include,,,B,5,,
include_tier_B,FT-0007,Decentralizing Trust: Consortium Blockchains and Hyperledger Fabric Explained,2025,arXiv,arxiv,10.48550/arXiv.2502.06540v1,http://arxiv.org/abs/2502.06540v1,include,,,B,4,,
include_tier_B,FT-0336,Blockchain-Enabled Secure Data Sharing Framework for Healthcare IoT Devices,2025,International Journal of Engineering Science and Information Technology,openalex,10.52088/ijesty.v5i2.1520,https://doi.org/10.52088/ijesty.v5i2.1520,include,,,B,4,,
include_tier_B,FT-0004,Agents for Agents: An Interrogator-Based Secure Framework for Autonomous Internet of Underwater Things,2026,arXiv,arxiv,10.48550/arXiv.2604.04262v1,http://arxiv.org/abs/2604.04262v1,include,,,B,4,,
include_tier_B,FT-0725,A Novel Blockchain-Based Integrity and Reliable Veterinary Clinic Information Management System Using Predictive Analytics for Provisioning of Quality Health Services,2021,IEEE Access,openalex,10.1109/access.2021.3049325,https://doi.org/10.1109/access.2021.3049325,include,,,B,5,,
include_tier_C,FT-0366,A BLOCKCHAIN ENABLED TAMPER PROOF APPROACH FOR ENHANCED MEDICAL DATA INTEGRITY AND ACCESS CONTROL,2025,Journal of Science Engineering Technology and Management Sciences,openalex,10.64771/jsetms.2025.v02.i08.pp602-612,https://doi.org/10.64771/jsetms.2025.v02.i08.pp602-612,include,,,C,2,,
include_tier_C,FT-0009,TINC: Trusted Intelligent NetChain,2025,arXiv,arxiv,10.48550/arXiv.2511.00823v1,http://arxiv.org/abs/2511.00823v1,include,,,C,3,,
include_tier_C,FT-0008,Universally Composable Termination Analysis of Tendermint,2025,arXiv,arxiv,10.48550/arXiv.2510.01097v2,http://arxiv.org/abs/2510.01097v2,include,,,C,2,,
include_tier_C,FT-0565,Modeling Cross-blockchain Process Using Queueing Theory: The Case of Cosmos,2023,,openalex,10.1109/icpads56603.2022.00043,https://doi.org/10.1109/icpads56603.2022.00043,include,,,C,2,,
include_tier_C,FT-0321,A Study on the Interoperable Method of Security Tokens Between Permissioned and Public Blockchains,2025,Korea Industrial Technology Convergence Society,openalex,10.29279/jitr.k.2025.30.1.23,https://doi.org/10.29279/jitr.k.2025.30.1.23,include,,,C,3,,
include_tier_D,FT-0329,BlockArc: A Blockchain Based Smart Contract for Reward System in E-Commerce,2025,ITEGAM- Journal of Engineering and Technology for Industrial Applications (ITEGAM-JETIA),openalex,10.5935/jetia.v11i54.1735,https://doi.org/10.5935/jetia.v11i54.1735,include,,,D,1,,
include_tier_D,FT-0715,The Roadmap to 6G Security and Privacy,2021,IEEE Open Journal of the Communications Society,openalex,10.1109/ojcoms.2021.3078081,https://doi.org/10.1109/ojcoms.2021.3078081,include,,,D,0,,
include_tier_D,FT-0554,Impact of Using the Internet of Medical Things on e-Healthcare Performance: Blockchain Assist in Improving Smart Contract,2023,ClinicoEconomics and Outcomes Research,openalex,10.2147/ceor.s407778,https://doi.org/10.2147/ceor.s407778,include,,,D,1,,
include_tier_D,FT-0352,A self evolving high performance sharded consortium blockchain designed for secure and trusted resource sharing for 6G networks,2025,Scientific Reports,openalex,10.1038/s41598-025-11705-4,https://doi.org/10.1038/s41598-025-11705-4,include,,,D,1,,
include_tier_D,FT-0763,Alleviating Challenges Related to FDA-Approved Medical Wearables Using Blockchain Technology,2021,IT Professional,openalex,10.1109/mitp.2021.3072535,https://doi.org/10.1109/mitp.2021.3072535,include,,,D,0,,
exclude_insufficient_fulltext_access,FT-0070,A Privacy Protection Scheme for Permissioned Blockchain Based on Trusted Execution Environment,2022,2022 International Conference on Blockchain Technology and Information Security (ICBCTIS),ieee,10.1109/ICBCTIS55569.2022.00012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845127,exclude,insufficient_fulltext_access,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_insufficient_fulltext_access,FT-0135,DeSAT: Towards Transparent and Decentralized University Counselling Process,2022,2022 IEEE International Conference on Blockchain (Blockchain),ieee,10.1109/Blockchain55522.2022.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881860,exclude,insufficient_fulltext_access,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_insufficient_fulltext_access,FT-0261,VerifyB - Students’ record management and verification system,2021,2021 International Conference on Communication information and Computing Technology (ICCICT),ieee,10.1109/ICCICT50803.2021.9510144,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9510144,exclude,insufficient_fulltext_access,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_insufficient_fulltext_access,FT-0221,Integrating Blockchain Technology for Enhanced Security and Trust in Remote IoT Healthcare Systems,2024,"2024 3rd Odisha International Conference on Electrical Power Engineering, Communication and Computing Technology (ODICON)",ieee,10.1109/ODICON62106.2024.10797561,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10797561,exclude,insufficient_fulltext_access,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_no_full_text_access,FT-0476,RAC-Chain: An Asynchronous Consensus-based Cross-chain Approach to Scalable Blockchain for Metaverse,2023,ACM Transactions on Multimedia Computing Communications and Applications,openalex,10.1145/3586011,https://doi.org/10.1145/3586011,exclude,no_full_text_access,No openly accessible full text could be retrieved automatically; conservatively excluded.,,,,
exclude_no_full_text_access,FT-0722,A Lightweight Blockchain-Based IoT Identity Management Approach,2021,Future Internet,openalex,10.3390/fi13020024,https://doi.org/10.3390/fi13020024,exclude,no_full_text_access,No openly accessible full text could be retrieved automatically; conservatively excluded.,,,,
exclude_no_full_text_access,FT-0573,A decentralized public-permissioned blockchain framework for enhanced security of health records in fog computing,2023,Computer Methods in Biomechanics & Biomedical Engineering,openalex,10.1080/10255842.2023.2262664,https://doi.org/10.1080/10255842.2023.2262664,exclude,no_full_text_access,Ambiguous record with no open full-text access; excluded for the SLR until full text is procured.,,,,
exclude_no_full_text_access,FT-0769,Agriculture-Food Supply Chain Management Based on Blockchain and IoT: A Narrative on Enterprise Blockchain Interoperability,2021,Agriculture,openalex,10.3390/agriculture12010040,https://doi.org/10.3390/agriculture12010040,exclude,no_full_text_access,No openly accessible full text could be retrieved automatically; conservatively excluded.,,,,
exclude_second_pass_likely_exclude,FT-0262,Blockchain Application in Educational Certificates and Verification Compliant with General Data Protection Regulations,2022,2022 10th International Conference on Cyber and IT Service Management (CITSM),ieee,10.1109/CITSM56380.2022.9935909,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935909,exclude,second_pass_likely_exclude,Excluded based on second-pass uncertain triage signals (no institutional/consortium framing or implementation evidence).,,,,
exclude_second_pass_likely_exclude,FT-0054,IEEE Draft Standard for Layer 2 Framework for Blockchain and Distributed Ledger Technologies (DLT),2026,"IEEE P3815/D4, November 2025",ieee,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395480,exclude,second_pass_likely_exclude,Excluded based on second-pass uncertain triage signals (no institutional/consortium framing or implementation evidence).,,,,
exclude_second_pass_likely_exclude,FT-0848,BigchainDB for Precision Agriculture Data Sharing: A Feasibility Study,2026,FUTURE INTERNET,wos,10.3390/fi18030121,WOS:001726087600001,exclude,second_pass_likely_exclude,Excluded based on second-pass uncertain triage signals (no institutional/consortium framing or implementation evidence).,,,,
exclude_second_pass_likely_exclude,FT-0077,Federated Learning and Blockchain for Privacy-Preserving AI Models,2025,2025 IEEE International Conference on Emerging Trends in Computing and Communication (ETCOM),ieee,10.1109/ETCOM66606.2025.11437012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11437012,exclude,second_pass_likely_exclude,Excluded based on second-pass uncertain triage signals (no institutional/consortium framing or implementation evidence).,,,,
exclude_agent_uncertain_full_text,FT-0549,An In-depth Security and Performance Investigation in Hyperledger Fabric-configured Distributed Computing Systems,2023,International Journal of Computing and Digital Systems,openalex,10.12785/ijcds/130115,https://doi.org/10.12785/ijcds/130115,exclude,agent_uncertain_full_text,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_agent_uncertain_full_text,FT-0662,Health-zkIDM: A Healthcare Identity System Based on Fabric Blockchain and Zero-Knowledge Proof,2022,Sensors,openalex,10.3390/s22207716,https://doi.org/10.3390/s22207716,exclude,agent_uncertain_full_text,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_agent_uncertain_full_text,FT-0669,VBlock: A Blockchain-Based Tamper-Proofing Data Protection Model for Internet of Vehicle Networks,2022,Sensors,openalex,10.3390/s22208083,https://doi.org/10.3390/s22208083,exclude,agent_uncertain_full_text,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_agent_uncertain_full_text,FT-0641,The Role of Blockchain in E-Governance and Decision-Making in Project and Program Management,2022,Advances in Internet of Things,openalex,10.4236/ait.2022.123006,https://doi.org/10.4236/ait.2022.123006,exclude,agent_uncertain_full_text,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.,,,,
exclude_no_quantitative_or_reproducible_evidence,FT-0784,"The Digital Avatar on a Blockchain: E-Identity, Anonymity and Human Dignity",2021,SHILAP Revista de lepidopterología,openalex,10.25364/01.8:2021.2.3,https://doi.org/10.25364/01.8:2021.2.3,exclude,no_quantitative_or_reproducible_evidence,Full text lacks quantitative or reproducible technical evidence required by the protocol.,,,,
exclude_no_quantitative_or_reproducible_evidence,FT-0485,SECBlock-IIoT: A Secure Blockchain-enabled Edge Computing Framework for Industrial Internet of Things,2023,,openalex,10.1145/3591365.3592945,https://doi.org/10.1145/3591365.3592945,exclude,no_quantitative_or_reproducible_evidence,Full text lacks quantitative or reproducible technical evidence required by the protocol.,,,,
exclude_no_quantitative_or_reproducible_evidence,FT-0550,Shedding New Light on Multinational Corporations and Human Rights: Promises and Limits of “Blockchainizing” the Global Supply Chain,2023,Michigan Journal of International Law,openalex,10.36642/mjil.44.1.shedding,https://doi.org/10.36642/mjil.44.1.shedding,exclude,no_quantitative_or_reproducible_evidence,Full text lacks quantitative or reproducible technical evidence required by the protocol.,,,,
exclude_no_quantitative_or_reproducible_evidence,FT-0583,"Mine, Yours, … Ours? Managing Stakeholder Conflicts in an Enterprise Blockchain Consortium",2022,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,openalex,10.24251/hicss.2022.561,https://doi.org/10.24251/hicss.2022.561,exclude,no_quantitative_or_reproducible_evidence,Full text lacks quantitative or reproducible technical evidence required by the protocol.,,,,
