study_id,year,tier,platform_stack,domain,metrics_reported,throughput,latency,fault_tolerance,privacy_overhead,evaluation_setup,workload_description,has_throughput,has_latency,has_fault_tolerance
ST-0001,2026,C,not specified,unclassified,,,,,,,,no,no,no
ST-0002,2026,B,Hyperledger Fabric; Polkadot/Substrate; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education,latency; fault_tolerance,,100 ms; 500 ms; 100 ms,es. We assume adversaries can compromise up to 33% of validator nodes (standard Byzantine threshold). Compromised servers can inspect submitted data but cannot directly,,simulation; prototype; Raspberry Pi / edge hardware; formal verification,,no,yes,yes
ST-0003,2026,C,not specified,supply chain; energy/utilities; identity; education,,,,,,,,no,no,no
ST-0004,2026,B,Hyperledger Fabric,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,,180 ms,ledger that is run in surface gateways and  a few validators through Practical Byzantine Fault Tolerance (PBFT). Due to the nature of  consortium consensus which contro,,simulation; prototype,,no,yes,yes
ST-0005,2026,C,not specified,supply chain,,,,,,,,no,no,no
ST-0006,2025,B,Hyperledger Fabric; Bitcoin,healthcare; supply chain; energy/utilities; identity/PKI; education,throughput; latency,,,,,Hyperledger Caliper; Docker/Kubernetes,custom benchmark,no,no,no
ST-0007,2025,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,throughput; latency; fault_tolerance,,,"ed nodes within the network. Examples of such methods include PoS and Practical Byzantine Fault Tolerance (PBFT). With these methods, consensus is typically achieved by",,simulation; prototype; Docker/Kubernetes,,no,no,yes
ST-0008,2025,C,Cosmos,unclassified,,,,,,,,no,no,no
ST-0009,2025,C,not specified,unclassified,,,,,,,,no,no,no
ST-0010,2025,B,not specified,supply chain,,,,,,,,no,no,no
ST-0011,2025,B,Hyperledger Fabric; Hyperledger Besu; Ethereum,finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency,50; 30; 27.8 TPS,60 ms; 100 ms; 580 ms,,,Hyperledger Caliper; simulation; Docker/Kubernetes,custom benchmark,yes,yes,no
ST-0012,2025,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0013,2024,C,not specified,unclassified,,,,,,,,no,no,no
ST-0014,2024,D,not specified,unclassified,,,,,,,,no,no,no
ST-0015,2024,C,not specified,unclassified,,,,,,,,no,no,no
ST-0016,2024,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0017,2024,C,not specified,government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0018,2024,A,Hyperledger Fabric; Hyperledger Besu; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency,60 TPS,,,,Hyperledger Caliper; simulation; prototype,custom benchmark; real-world dataset,yes,no,no
ST-0019,2024,B,Hyperledger Fabric; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency,,,,,testbed; Docker/Kubernetes,,no,no,no
ST-0020,2023,B,Hyperledger Fabric; Bitcoin,IoT/edge/CPS,latency; fault_tolerance,,,"[10] M. Fang, X. Cao, J. Jia, and N. Gong, “Local model poisoning at- tacks to {Byzantine-Robust} federated learning,” in 29th USENIX Security Symposium (USENIX Security",,simulation; cloud deployment; Raspberry Pi / edge hardware,custom benchmark,no,no,yes
ST-0021,2023,C,not specified,IoT/edge; education,,,,,,,,no,no,no
ST-0022,2023,B,Hyperledger Fabric; Ethereum; Bitcoin,supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; fault_tolerance,,,"me  of Bitcoin’s limitations. Additionally, BlockZone’s [47] improved Practical Byzantine Fault Tolerance (PBFT) [48]  consensus mechanism provides more efficient name r",,simulation; testbed; cloud deployment,custom benchmark,no,no,yes
ST-0023,2023,C,Hyperledger Besu,healthcare; finance/banking; supply chain; IoT/edge; education,,,,,,,,no,no,no
ST-0024,2023,C,not specified,healthcare; finance/banking,,,,,,,,no,no,no
ST-0025,2023,B,Hyperledger Fabric; Ethereum,healthcare; finance/banking; government/public sector; identity/PKI; education,throughput; latency; fault_tolerance,,1000 ms; 11425 ms,"nts, credential schemas and credential definitions. Indy Plenum is an Redundant Byzantine Fault Tolerant (RBFT) based consensus protocol that Indy Node uses to reach con",,simulation; prototype; cloud deployment; Docker/Kubernetes,,no,yes,yes
ST-0026,2022,C,Hyperledger Fabric,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0027,2022,B,Hyperledger Fabric; Ethereum; IOTA; Bitcoin,healthcare; finance/banking; supply chain; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; latency; fault_tolerance,100; 25 TPS,30 ms,and semi-trusted. Less resource-demanding consensus protocols such as Practical Byzantine Fault Tolerance (PBFT) [14] and Raft [30] can be utilized in consortium blockch,,Hyperledger Caliper; simulation; testbed; prototype; cloud deployment; Raspberry Pi / edge hardware; Docker/Kubernetes,custom benchmark; synthetic dataset,yes,yes,yes
ST-0028,2022,D,not specified,unclassified,,,,,,,,no,no,no
ST-0029,2022,B,Hyperledger Iroha; Ethereum,finance/banking; government/public sector; identity/PKI; education,privacy_overhead,,0.0169 ms; 0.0353 ms; 0.0748 ms,,"8 algorithm, and the Secp256k1 elliptic curve. In order to balance security and computational cost, the n1 and n2 which is the number of SSs and RAs 15 respectively are set to 5",simulation,,no,yes,no
ST-0030,2022,C,not specified,unclassified,,,,,,,,no,no,no
ST-0031,2022,B,Hyperledger Fabric; Quorum; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency; fault_tolerance,3 TPS,30 seconds; 16 seconds,thod designed to counter ad- versarial updates in a FL setting. Multi-Krum is a byzantine-resilient defence strategy that selects 𝑛 vectors furthest from the calculated,,Hyperledger Caliper; simulation; prototype; formal verification,custom benchmark,yes,yes,yes
ST-0032,2022,C,Hyperledger Fabric; Corda,IoT/edge,,,,,,,,no,no,no
ST-0033,2021,D,not specified,unclassified,,,,,,,,no,no,no
ST-0034,2021,C,not specified,unclassified,,,,,,,,no,no,no
ST-0035,2021,C,not specified,finance/banking; IoT/edge,,,,,,,,no,no,no
ST-0036,2021,C,not specified,healthcare,,,,,,,,no,no,no
ST-0037,2021,B,Hyperledger Fabric; Quorum; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,throughput; latency; privacy_overhead,10; 300; 160 TPS,1.35 seconds; 161.31 ms; 939.50 ms,,ain. The low frequency key-word is selected for data ﬁltration which limits the computational cost by returning small number of results. The authors have also proposed the use of,Hyperledger Caliper; simulation; prototype,custom benchmark,yes,yes,no
ST-0038,2021,B,Hyperledger Fabric; Quorum; Ethereum; Bitcoin,finance/banking; identity/PKI,throughput; latency; fault_tolerance,100 TPS,35 seconds; 72 seconds,"lts, to ensure consistency and liveness for both child chains despite crash- or Byzantine failures, thereby enabling to bootstrap trust from the parent chain to its chil",,Docker/Kubernetes,,yes,yes,yes
ST-0039,2021,C,Hyperledger Fabric,finance/banking; supply chain; identity; IoT/edge; education,,,,,,,,no,no,no
ST-0040,2021,C,Hyperledger Fabric; Hyperledger Besu; Ethereum,IoT/edge,,,,,,,,no,no,no
ST-0041,2021,B,Hyperledger Fabric; Quorum; Ethereum; Cosmos/Tendermint,supply chain; government/public sector; identity/PKI; IoT/edge/CPS,throughput; fault_tolerance,786.6; 751.8; 500 TPS,250.98 seconds; 232.29 seconds; 154.64 seconds,"zation. The consensus algorithm of Hyperledger Fabric is con- ﬁned in the Crash Fault Tolerant (CFT) ordering service, aimed at fast ﬁnality, based on theRAFT consensus proto",,prototype; cloud deployment; Docker/Kubernetes,custom benchmark,yes,yes,yes
ST-0042,2021,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0043,2021,B,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency; fault_tolerance,,,"roposed 4 Table 1: Comparison between ICON, AION and Wanchain IFPs.(*LFT - Loop Fault Tolerance, PoW - Proof of Work, DPoS - Delegated Proof of Stake, PoI - Proof of Identity,",,simulation; prototype,custom benchmark,no,no,yes
ST-0044,2021,B,Hyperledger Fabric; Corda; Ethereum; Bitcoin,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,latency; fault_tolerance,,50 ms; 400 ms; 50 ms,"such interfacing. First, the businesses, as well as the consumers, can exhibit byzantine behavior in the absence of a ﬁrm-controlled market- place. Therefore they can c",,simulation; testbed; prototype; Docker/Kubernetes,custom benchmark,no,yes,yes
ST-0045,2025,B,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility,throughput; latency,,1 ms; 1 ms; 0.3 ms,,,simulation; Docker/Kubernetes,,no,yes,no
ST-0053,2025,B,Hyperledger Fabric; Ethereum; Cosmos/Tendermint; Ripple/XRP; Stellar; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; latency; fault_tolerance,7; 4 TPS,17 seconds,"w to reach consensus among the untrustwor- thy nodes is a transformation of the Byzantine Generals (BG) Problem [47]. In the BG problem, a group of generals who command",,prototype,,yes,yes,yes
ST-0055,2024,B,not specified,healthcare,,,,,,,,no,no,no
ST-0060,2026,B,not specified,supply chain; identity,,,,,,,,no,no,no
ST-0067,2025,A,not specified,supply chain,,,,,,,,no,no,no
ST-0071,2024,C,not specified,healthcare,,,,,,,,no,no,no
ST-0075,2025,A,not specified,government/public sector; energy/utilities; identity; IoT/edge; education,,,,,,,,no,no,no
ST-0083,2024,A,Ethereum,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0084,2021,B,not specified,finance/banking; supply chain,,,,,,,,no,no,no
ST-0088,2025,B,not specified,healthcare,,,,,,,,no,no,no
ST-0095,2024,B,Hyperledger Fabric,education,latency,,,,,,,no,no,no
ST-0097,2023,B,not specified,government/public sector,,,,,,,,no,no,no
ST-0098,2026,A,not specified,government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0099,2022,C,not specified,IoT/edge; education,,,,,,,,no,no,no
ST-0113,2025,B,not specified,supply chain; government/public sector; education,,,,,,,,no,no,no
ST-0125,2023,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0128,2021,B,not specified,healthcare; finance/banking,,,,,,,,no,no,no
ST-0147,2024,C,not specified,healthcare; supply chain; IoT/edge,,,,,,,,no,no,no
ST-0163,2023,C,not specified,healthcare; education,,,,,,,,no,no,no
ST-0164,2024,B,Hyperledger Fabric; Ethereum; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education,throughput; latency,400; 50; 400 TPS,,,,Hyperledger Caliper; simulation; testbed; prototype,custom benchmark,yes,no,no
ST-0169,2021,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0171,2025,B,Hyperledger Fabric,IoT/edge; education,,,,,,,,no,no,no
ST-0172,2025,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0175,2025,B,not specified,healthcare; finance/banking; supply chain,,,,,,,,no,no,no
ST-0182,2022,A,Hyperledger Fabric; Hyperledger Besu; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency,50; 25; 100 TPS,1 second; 1 second; 1 second,,,Hyperledger Caliper; simulation; testbed; prototype; cloud deployment,custom benchmark,yes,yes,no
ST-0197,2025,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0203,2025,B,Hyperledger Fabric,IoT/edge; education,,,,,,,,no,no,no
ST-0224,2023,C,not specified,healthcare,,,,,,,,no,no,no
ST-0227,2025,B,not specified,supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0250,2024,B,not specified,identity; education,,,,,,,,no,no,no
ST-0267,2023,B,not specified,finance/banking; supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0270,2025,A,Ethereum,finance/banking; supply chain; government/public sector,,,,,,,,no,no,no
ST-0277,2023,B,not specified,government/public sector; education,,,,,,,,no,no,no
ST-0282,2024,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0283,2025,B,not specified,healthcare; identity,,,,,,,,no,no,no
ST-0289,2022,C,not specified,healthcare,,,,,,,,no,no,no
ST-0290,2021,B,not specified,supply chain,,,,,,,,no,no,no
ST-0296,2026,C,not specified,government/public sector,,,,,,,,no,no,no
ST-0297,2026,B,not specified,supply chain; government/public sector,,,,,,,,no,no,no
ST-0299,2026,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency; fault_tolerance,1000 TPS,,"t contracts, consensus mechanisms (Proof  of Work, Proof of Stake, or Practical Byzantine Fault Tolerance), and cryp tographic algorithms that collectively ensure  trust",,Hyperledger Caliper,custom benchmark,yes,no,yes
ST-0300,2025,B,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency; fault_tolerance; privacy_overhead,,,"EC and efficient consensus mechanism of  Hyperledger, such as Advanced Practice Byzantine Fault Tolerance (APBFT), to enable scalability for exten- sive IoMT deployments",verifying stakeholder’s information validation and authentication Requires more computational  cost Barman et  al.23 Key-agreement authentication verification over Ethereum  netwo,simulation; Raspberry Pi / edge hardware; Docker/Kubernetes,,no,no,yes
ST-0305,2025,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,,,,,,simulation,,no,no,no
ST-0308,2025,A,not specified,government/public sector,,,,,,,,no,no,no
ST-0310,2025,B,Ethereum,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,latency; fault_tolerance,,150 ms; 200 ms; 1.98 ms,"3, allowing any fog  node to satisfy the IoT device’s request in the event of a node failure.  11. The IoT edge device will securely communicate with other edge devices in",,simulation; testbed; Raspberry Pi / edge hardware,,no,yes,yes
ST-0315,2025,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0316,2025,B,not specified,healthcare; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,throughput; latency,,0.42 seconds,,,,,no,yes,no
ST-0317,2025,C,not specified,identity; IoT/edge; education,,,,,,,,no,no,no
ST-0318,2025,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,latency; fault_tolerance,,,"oof of Work (PoW):  Used in Bitcoin, but computationally expensive. – Practical Byzantine Fault Tolerance (PBFT):  Used in Hyperledger Fabric for faster and more energy-",,Docker/Kubernetes; formal verification,real-world dataset,no,no,yes
ST-0319,2025,A,Ethereum,healthcare; supply chain; government/public sector; identity/PKI; IoT/edge/CPS,,,100 ms; 1.7 seconds,,,,,no,yes,no
ST-0321,2025,C,not specified,finance/banking; government/public sector,,,,,,,,no,no,no
ST-0325,2025,C,not specified,supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0326,2025,C,not specified,healthcare,,,,,,,,no,no,no
ST-0328,2025,C,not specified,healthcare; supply chain; government/public sector; identity; education,,,,,,,,no,no,no
ST-0329,2025,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0330,2025,B,Hyperledger Fabric; Quorum; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency,,,,,simulation; testbed; prototype,,no,no,no
ST-0333,2025,B,Hyperledger Fabric; Ethereum,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance; privacy_overhead,1700; 80; 118 TPS,200 ms; 120 ms; 200 ms,"gulated securities  settings, unlike FLUID. The hybrid consensus technique uses Byzantine Fault Tolerance (BFT) and Directed  Acyclic Graph (DAG) concepts. PACT optimize","tegrity) PoW/PoS Consensus ~ 30% faster finality and more fault-tolerant (less  computational cost) Authenticity & Non-repudiation zk-SNARKs (Non-repudiation, proof of soundness)",simulation,custom benchmark,yes,yes,yes
ST-0336,2025,B,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency,74; 74; 52 TPS,3.2 ms; 120 ms; 120 milliseconds,,,simulation,,yes,yes,no
ST-0337,2025,B,not specified,healthcare; government/public sector; identity,,,,,,,,no,no,no
ST-0340,2025,A,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education,privacy_overhead,,,,le layers of internally nested C3k (containing 2 Bottleneck)  leads to a higher computational cost and number of parameters. To further optimise the efficiency of the header netw,simulation,custom benchmark,no,no,no
ST-0342,2025,C,not specified,identity; IoT/edge,,,,,,,,no,no,no
ST-0343,2025,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0345,2025,C,not specified,government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0347,2025,B,not specified,finance/banking; identity; education,,,,,,,,no,no,no
ST-0348,2025,C,not specified,finance/banking; government/public sector; identity; IoT/edge,,,,,,,,no,no,no
ST-0349,2025,B,not specified,supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0350,2025,A,Hyperledger Fabric; Corda,finance/banking; government/public sector,,,,,,,,no,no,no
ST-0351,2025,C,not specified,supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0352,2025,D,not specified,finance/banking; IoT/edge,,,,,,,,no,no,no
ST-0363,2025,C,Hyperledger Fabric,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0364,2025,A,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency,280; 220; 165 TPS,25 ms; 306.5 ms; 430 ms,,,simulation,,yes,yes,no
ST-0366,2025,C,Ethereum,healthcare,,,,,,,,no,no,no
ST-0367,2025,A,Ethereum,healthcare; supply chain; government/public sector; identity,,,,,,,,no,no,no
ST-0372,2024,C,not specified,supply chain; government/public sector,,,,,,,,no,no,no
ST-0373,2024,B,Hyperledger Fabric; Corda; Ethereum; IOTA; Bitcoin; Multichain,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,,,"oof of work), POS (proof of stake), the hybrid model (POW+POS), PBFT (practical Byzantine fault tolerance), and PoET (proof of elapsed time) ( 25). In public networks li",,prototype; cloud deployment; Raspberry Pi / edge hardware,real-world dataset,no,no,yes
ST-0374,2024,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0375,2024,D,not specified,healthcare; identity; IoT/edge,,,,,,,,no,no,no
ST-0377,2024,C,not specified,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0381,2024,B,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; fault_tolerance,,,"Wangchun Li1 and Kangting Li2  Abstract  Because of its excellent properties of fault tolerance, efficiency and availability, the practical Byzantine fault tolerance  (PBFT) a",,simulation,,no,no,yes
ST-0388,2024,B,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,throughput,,0.1 seconds; 0.02 seconds,,,simulation,,no,yes,no
ST-0390,2024,B,Hyperledger Fabric; Corda; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education,throughput; latency; fault_tolerance,,,r than anyone with computing power [10]. Proof-of-Authority (PoA) and Practical Byzantine Fault Tolerance (pBFT) are two of the most widely used consensus algorithms for,,testbed; prototype,,no,no,yes
ST-0393,2024,B,Ethereum,healthcare,,,,,,,,no,no,no
ST-0398,2024,B,Quorum; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput,,,,,simulation,,no,no,no
ST-0403,2024,B,Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency,200; 215 TPS,300 ms; 280 ms; 300 ms,,,,custom benchmark,yes,yes,no
ST-0405,2024,C,not specified,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0408,2024,B,Ethereum,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,latency,,1070.52 milliseconds; 1187.12 milliseconds; 1070.52 ms,,,simulation; cloud deployment; Docker/Kubernetes; formal verification,custom benchmark,no,yes,no
ST-0409,2024,B,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; agriculture,throughput; latency; fault_tolerance,,,orda surpasses  blockchain in terms of efficiency and scalability by using the  Byzantine Fault Tolerance (BFT) consensus process and  accommodating a greater volume of,,,custom benchmark,no,no,yes
ST-0413,2024,B,Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture,latency,,1 ms; 10 ms; 10 ms,,,simulation,,no,yes,no
ST-0419,2024,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency,,,,,simulation; prototype; cloud deployment; Raspberry Pi / edge hardware,synthetic dataset,no,no,no
ST-0424,2024,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0426,2024,D,not specified,healthcare,,,,,,,,no,no,no
ST-0427,2024,A,Hyperledger Fabric; Hyperledger Besu; Ethereum; IOTA; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; latency; fault_tolerance,,400 ms,"cripts) A second-generation spin-off from Bitcoin Hedera Hashgraph Asynchronous Byzantine Fault-Tolerant  (aBFT) consensus Yes Does not use a classic blockchain, but a d",,simulation; Docker/Kubernetes,custom benchmark,no,yes,yes
ST-0428,2024,C,not specified,energy/utilities,,,,,,,,no,no,no
