study_id,year,tier,platform_stack,domain,metrics_reported,throughput,latency,fault_tolerance,privacy_overhead,evaluation_setup,workload_description,has_throughput,has_latency,has_fault_tolerance
ST-0429,2024,B,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,throughput; fault_tolerance,,,r PoET Proof of Elapsed Time LSFR Linear Feedback Shift Register PBFT Practical Byzantine Fault Tolerance RO Ring-Oscillator WSN Wireless Sensor Networks EPCs Electronic,,prototype; Docker/Kubernetes,,no,no,yes
ST-0431,2024,C,not specified,government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0432,2024,B,Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,,,,,,cloud deployment; Raspberry Pi / edge hardware,,no,no,no
ST-0433,2024,B,Ethereum; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,throughput,,,,,Docker/Kubernetes,,no,no,no
ST-0434,2024,B,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility,fault_tolerance; privacy_overhead,,,"rtium network, with an administrator tasked  with looking into any instances of fault tolerance that may arise during the process- ing cycle. Conversely, as illustrated in Fig","we can handle the issues of data processing, resource man- agement (especially computational cost), and scalability, as shown in Fig.  2; due to  this, we design a function that",simulation,,no,no,yes
ST-0436,2024,B,Hyperledger Besu; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; transportation/mobility,privacy_overhead,,,,"nsumption during the execution of the smart contract operations to evaluate the computational cost of our  solution as shown in Table 1. In this investigation, we compared the ga",,,no,no,no
ST-0437,2024,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0446,2024,B,Ethereum; Polkadot/Substrate; Cosmos/Tendermint; Bitcoin; Multichain,finance/banking; supply chain; government/public sector; identity/PKI; transportation/mobility,throughput; latency; fault_tolerance,7; 100; 10 TPS,,"ocol for permissionless blockchains. Subsequently, Dang et al. [4] improved the Byzantine Fault Tolerance (BFT) consensus protocol to enhance transaction processing capa",,simulation; formal verification,,yes,no,yes
ST-0451,2024,B,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,throughput; latency; privacy_overhead,,,,applicability of the framework for other do- mains is yet to be consid- ered. • Computational cost • Communication cost [30] • Proxy Re-encryption smart contracts • Using the blo,simulation; prototype; Raspberry Pi / edge hardware; Docker/Kubernetes,,no,no,no
ST-0452,2024,C,not specified,finance/banking; IoT/edge,,,,,,,,no,no,no
ST-0456,2024,D,not specified,unclassified,,,,,,,,no,no,no
ST-0458,2024,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0459,2024,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0460,2023,B,not specified,healthcare; government/public sector; energy/utilities; IoT/edge,,,,,,,,no,no,no
ST-0461,2023,C,not specified,government/public sector; energy/utilities,,,,,,,,no,no,no
ST-0463,2023,C,not specified,finance/banking; government/public sector,,,,,,,,no,no,no
ST-0466,2023,C,not specified,government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0468,2023,C,not specified,healthcare,,,,,,,,no,no,no
ST-0470,2023,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0471,2023,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0473,2023,B,Bitcoin,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,throughput; fault_tolerance,,,"rmance and security of the blockchain system. At present, the classic Practical Byzantine  Fault Tolerance Algorithm (PBFT), which is mainly used in the consortium chain",,simulation; prototype,,no,no,yes
ST-0475,2023,C,not specified,unclassified,,,,,,,,no,no,no
ST-0484,2023,C,not specified,supply chain; energy/utilities,,,,,,,,no,no,no
ST-0487,2023,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0492,2023,C,Ethereum,unclassified,,,,,,,,no,no,no
ST-0496,2023,C,Hyperledger Besu; Ethereum,IoT/edge,,,,,,,,no,no,no
ST-0498,2023,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0499,2023,B,Hyperledger Fabric; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education; transportation/mobility,throughput; latency,3000; 20000 TPS,,,,Hyperledger Caliper; testbed,,yes,no,no
ST-0502,2023,B,Ethereum,healthcare; supply chain; IoT/edge,,,,,,,,no,no,no
ST-0503,2023,C,not specified,supply chain; government/public sector; identity; IoT/edge; education,,,,,,,,no,no,no
ST-0505,2023,C,not specified,unclassified,,,,,,,,no,no,no
ST-0506,2023,B,not specified,unclassified,,,,,,,,no,no,no
ST-0515,2023,C,not specified,supply chain,,,,,,,,no,no,no
ST-0521,2023,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; IoT/edge/CPS; education; transportation/mobility; agriculture,throughput; latency; fault_tolerance,,100 milliseconds; 403 milliseconds; 0 ms,ransparent manner. 32929Multimedia Tools and Applications (2023) 82:32917–32939 Fault Tolerance : One of the advantages of combining Blockchain and IoT is the possibility to a,,Hyperledger Caliper; Docker/Kubernetes,custom benchmark,no,yes,yes
ST-0525,2023,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0527,2023,C,not specified,unclassified,,,,,,,,no,no,no
ST-0530,2023,C,not specified,healthcare; finance/banking; supply chain; energy/utilities; IoT/edge,,,,,,,,no,no,no
ST-0531,2023,C,not specified,supply chain,,,,,,,,no,no,no
ST-0537,2023,B,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0539,2023,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0544,2023,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0545,2023,B,Corda; Ethereum,finance/banking; energy/utilities; IoT/edge,,,,,,,,no,no,no
ST-0548,2023,C,Hyperledger Fabric,IoT/edge; education,,,,,,,,no,no,no
ST-0553,2023,B,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education,throughput; latency; fault_tolerance,,,"etwork  performance metrics, including transaction speed, cost  efficiency, and fault tolerance, were applied. The synthesis  also incorporated insights on cross -platform con",,simulation; cloud deployment,custom benchmark,no,no,yes
ST-0554,2023,D,not specified,healthcare,,,,,,,,no,no,no
ST-0556,2023,C,not specified,unclassified,,,,,,,,no,no,no
ST-0557,2023,D,not specified,unclassified,,,,,,,,no,no,no
ST-0565,2023,C,not specified,unclassified,,,,,,,,no,no,no
ST-0566,2023,A,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; latency; fault_tolerance; privacy_overhead,250 TPS,,wer pattern. The Raft consensus algorithm has been implemented to provide Crash Fault Tolerant (CFT) and enhanced understandability in a distributed network. This system has,"ents any attack from taking place. Additionally, it performs better in terms of computational cost, latency, and other performance parameters ( Lavanya & Kavitha, 2022 ). Chellad",Hyperledger Caliper; simulation; Docker/Kubernetes,custom benchmark,yes,no,yes
ST-0568,2023,C,not specified,unclassified,,,,,,,,no,no,no
ST-0569,2023,B,Ethereum,education,,,,,,,,no,no,no
ST-0577,2023,D,not specified,healthcare; supply chain,,,,,,,,no,no,no
ST-0579,2022,C,not specified,healthcare; government/public sector; education,,,,,,,,no,no,no
ST-0580,2022,C,not specified,government/public sector,,,,,,,,no,no,no
ST-0582,2022,A,Hyperledger Fabric; Corda; Ethereum; IOTA; Ripple/XRP; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,throughput; fault_tolerance,,,"nsus mechanisms now [ 15]: Proof of Work (Pow), Proof of Stake (Pos), Practical Byzantine Fault Tolerance (PBFT) and Delegated Proof of Stake (DPOS). Blockchain technolo",,simulation; testbed; Docker/Kubernetes,custom benchmark,no,no,yes
ST-0586,2022,C,not specified,supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0587,2022,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0588,2022,D,not specified,healthcare; supply chain; government/public sector; education,,,,,,,,no,no,no
ST-0596,2022,B,Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,throughput; fault_tolerance,,1000 ms; 1000 ms; 500 ms,"er nodes use an improved Raft consensus algorithm and inter-layer nodes use the Byzantine Fault Tolerance algorithm. Thirdly, we propose a trust evaluation method to imp",,simulation; prototype,custom benchmark,no,yes,yes
ST-0598,2022,B,Quorum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,,26.6 ms; 49.3 ms; 135.2 ms,3) download object: IPFS get <CID>. E. Raft Consensus Raft is a family of crash fault tolerance of the consensus algorithm. Raft networks often feature an odd number of nodes,,prototype,,no,yes,yes
ST-0612,2022,B,not specified,healthcare; education,,,,,,,,no,no,no
ST-0613,2022,A,Hyperledger Fabric; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,,,"chanism [54] saves more energy and accelerates transactions rates. d: PRACTICAL BYZANTINE FAULT TOLERANCE (PBFT) The practical Byzantine fault tolerance (PBFT), original",,Hyperledger Caliper; prototype; cloud deployment,,no,no,yes
ST-0615,2022,A,Hyperledger Fabric; Hyperledger Sawtooth; Ethereum; Bitcoin,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,throughput; latency; privacy_overhead,,,,"d validation. The experimental results show that the proposed BIoMT reduces the computational cost by 26.13%, and the robust medical node generation increases to 60.37%. Thus, on",simulation; Docker/Kubernetes,custom benchmark,no,no,no
ST-0617,2022,C,not specified,healthcare; finance/banking; government/public sector,,,,,,,,no,no,no
ST-0623,2022,C,not specified,healthcare,,,,,,,,no,no,no
ST-0628,2022,B,not specified,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; agriculture,throughput; latency; fault_tolerance,,,creasingly favour alternative consensus  models such as proof -of-authority and Byzantine  fault-tolerant protocols. These approaches reduce  latency and energy consumpt,,,,no,no,yes
ST-0633,2022,B,not specified,healthcare; identity; education,,,,,,,,no,no,no
ST-0636,2022,C,not specified,healthcare,,,,,,,,no,no,no
ST-0642,2022,A,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0646,2022,C,Hyperledger Fabric,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0653,2022,B,Hyperledger Fabric; Ethereum; Cosmos/Tendermint; IOTA,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency; fault_tolerance,,,"sioned blockchain for  secure charging of electric vehicles. They have utilized Byzantine fault tolerance consensus algorithm. Finally,  they have compared the efficienc",,Hyperledger Caliper; simulation; testbed; prototype; Raspberry Pi / edge hardware; Docker/Kubernetes,,no,no,yes
ST-0654,2022,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency; fault_tolerance,2000 TPS,,absent in Hyperledger because the consensus is achieved through PBFT (Practical Byzantine Fault Tolerance) depending on predeﬁned endorsers and trust is anchored by the,,simulation; Raspberry Pi / edge hardware; Docker/Kubernetes,,yes,no,yes
ST-0666,2022,C,not specified,finance/banking; supply chain; IoT/edge,,,,,,,,no,no,no
ST-0667,2022,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0668,2022,C,Hyperledger Fabric; Hyperledger Sawtooth,IoT/edge,,,,,,,,no,no,no
ST-0673,2022,C,not specified,healthcare; supply chain; IoT/edge,,,,,,,,no,no,no
ST-0675,2022,C,Hyperledger Fabric,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0676,2022,C,not specified,energy/utilities; IoT/edge,,,,,,,,no,no,no
ST-0678,2022,C,not specified,unclassified,,,,,,,,no,no,no
ST-0679,2022,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,latency,,,,,simulation,,no,no,no
ST-0693,2022,C,not specified,energy/utilities; IoT/edge,,,,,,,,no,no,no
ST-0698,2022,B,Quorum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency,,30 ms,,,Hyperledger Caliper; simulation,,no,yes,no
ST-0699,2022,B,not specified,healthcare; finance/banking; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,,,,,,simulation,,no,no,no
ST-0701,2022,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0702,2022,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0704,2022,C,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0705,2022,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0706,2021,D,not specified,government/public sector,,,,,,,,no,no,no
ST-0711,2021,A,Hyperledger Fabric; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture,throughput; latency; fault_tolerance,,,ansaction processing times. Castro and Liskov (1999)  earlier work on practical Byzantine fault tolerance has been  revisited in the context of permissioned regulatory n,,formal verification,,no,no,yes
ST-0713,2021,C,not specified,government/public sector; energy/utilities; identity; IoT/edge,,,,,,,,no,no,no
ST-0715,2021,D,not specified,IoT/edge,,,,,,,,no,no,no
ST-0720,2021,B,Ethereum; Bitcoin,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education,,,60 seconds; 240 seconds; 360 seconds,,,prototype,,no,yes,no
ST-0725,2021,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency; fault_tolerance,,,"s using different consensus algorithms, such as proof-of- work (PoW), practical Byzantine fault tolerance (PBFT), and RAFT. The blockchain ledger is a distributed ledger",,Hyperledger Caliper,custom benchmark,no,no,yes
ST-0728,2021,B,Hyperledger Fabric; Corda; Ethereum; Stellar; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,,,"ng PoS consensus, and Ethereum is mov- ing to PoS consensus. HLF uses practical byzantine fault tolerance (PBFT) consensus that tolerates byzantine faults (e.g., malicio",,simulation,,no,no,yes
ST-0732,2021,B,not specified,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0733,2021,B,Ethereum,healthcare,,,,,,,,no,no,no
ST-0736,2021,C,not specified,energy/utilities; IoT/edge,,,,,,,,no,no,no
ST-0750,2021,B,Ethereum,healthcare; finance/banking; energy/utilities; IoT/edge; education,,,,,,,,no,no,no
ST-0751,2021,D,not specified,supply chain,,,,,,,,no,no,no
ST-0753,2021,B,Ethereum,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; transportation/mobility,throughput; latency,,,,,simulation,,no,no,no
ST-0755,2021,B,Hyperledger Fabric,IoT/edge,,,,,,,,no,no,no
ST-0763,2021,D,not specified,healthcare,,,,,,,,no,no,no
ST-0764,2021,C,Hyperledger Fabric,finance/banking; IoT/edge,,,,,,,,no,no,no
ST-0767,2021,C,Ethereum,healthcare; supply chain,,,,,,,,no,no,no
ST-0768,2021,B,Hyperledger Fabric; Hyperledger Sawtooth; Corda; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS,fault_tolerance,,,"[23], Proof-of-Stake (PoS) [24], Proof-of-Authority (PoA) [25],  and practical Byzantine fault tolerance (PBFT) [26]. PoW is the  most popular consensus mechanism allow",,prototype; Docker/Kubernetes; formal verification,,no,no,yes
ST-0771,2021,B,not specified,healthcare,,,,,,,,no,no,no
ST-0774,2021,C,not specified,healthcare,,,,,,,,no,no,no
ST-0777,2021,B,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0779,2021,C,not specified,supply chain,,,,,,,,no,no,no
ST-0783,2021,B,not specified,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0786,2021,C,not specified,IoT/edge,,,,,,,,no,no,no
ST-0787,2021,B,not specified,healthcare; finance/banking; supply chain; IoT/edge,,,,,,,,no,no,no
ST-0789,2021,B,not specified,healthcare; government/public sector; education,,,,,,,,no,no,no
ST-0790,2021,C,not specified,healthcare; finance/banking; supply chain; energy/utilities,,,,,,,,no,no,no
ST-0792,2021,C,not specified,healthcare,,,,,,,,no,no,no
ST-0793,2021,C,not specified,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0794,2021,A,Hyperledger Fabric; Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency,,,,,simulation; prototype; formal verification,custom benchmark,no,no,no
ST-0795,2021,C,Hyperledger Fabric,supply chain; IoT/edge,,,,,,,,no,no,no
ST-0796,2021,B,Hyperledger Fabric; Hyperledger Besu; Quorum; Ethereum; Polkadot/Substrate; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education,latency; fault_tolerance,,,"the network regulator or reached with an agreement protocol, such as Practical Byzantine Fault Tolerance (PBFT) where two or more parties agree on the result [29]. B. V",,simulation; prototype; cloud deployment,,no,no,yes
ST-0797,2021,B,Hyperledger Fabric; Hyperledger Besu; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education,throughput; latency; fault_tolerance,1982.6; 263.9 TPS,,"application, e.g., proof-of-work(PoW) [2], proof-of- stake(PoS) [37], practical Byzantine fault tolerant(PBFT) [38], Paxos [39], and Raft. Among them, PoW and PoS algori",,Hyperledger Caliper; simulation; prototype; cloud deployment; Docker/Kubernetes,custom benchmark,yes,no,yes
ST-0798,2021,B,Hyperledger Fabric; Ethereum; Bitcoin,finance/banking; supply chain; government/public sector; IoT/edge/CPS,throughput; latency; fault_tolerance,,,"exchange. This architecture provides various features like distributed network, fault tolerance and maintenance of a single source of truth. In case of failure of a node, data",,prototype,custom benchmark,no,no,yes
ST-0801,2021,C,not specified,unclassified,,,,,,,,no,no,no
ST-0804,2021,B,Hyperledger Fabric,healthcare; supply chain; IoT/edge,,,,,,,,no,no,no
ST-0811,2021,A,not specified,supply chain; government/public sector; identity; IoT/edge,,,,,,,,no,no,no
ST-0813,2021,C,not specified,supply chain; government/public sector,,,,,,,,no,no,no
ST-0814,2021,B,Hyperledger Fabric; Quorum; Ethereum; IOTA; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; IoT/edge/CPS; education; transportation/mobility,throughput; latency; fault_tolerance,100; 10000 TPS,30 seconds; 20 seconds,"It supports WebAssembly (W ASM) and Ethreum Virtual Machine (EVM) and uses the Byzantine Fault Tolerance (BFT) consensus algorithm. In its sophisti- cated event system,",,simulation,,yes,yes,yes
ST-0815,2021,C,not specified,healthcare; government/public sector,,,,,,,,no,no,no
ST-0816,2021,C,not specified,healthcare; finance/banking; supply chain; government/public sector; IoT/edge,,,,,,,,no,no,no
ST-0818,2021,C,Ethereum,healthcare; IoT/edge,,,,,,,,no,no,no
ST-0822,2021,B,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education,,,,,,prototype,,no,no,no
ST-0827,2021,C,not specified,unclassified,,,,,,,,no,no,no
ST-0838,2021,C,not specified,identity; IoT/edge,,,,,,,,no,no,no
ST-0842,2024,A,Ethereum; Bitcoin,finance/banking; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,,,,,,simulation; prototype,,no,no,no
ST-0846,2021,B,Hyperledger Fabric,healthcare,throughput; latency,,,,,Hyperledger Caliper; prototype,,no,no,no
ST-0847,2025,B,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,throughput; latency; fault_tolerance; privacy_overhead,1450; 162; 1280 TPS,1.36 seconds; 5 seconds; 10 ms,"FS Blockchain Homomorphic  encryption  algorithm Hash File  fingerprint P2P MPI Byzantine  fault-tolerant  algorithm Proof of work You Wen, et al: Data security and priv","nt, while if it was too large (4096  bits), it would significantly increase the computational cost and prolong the convergence time. Taking  into account both security and effici",simulation,,yes,yes,yes
ST-0849,2025,B,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility,privacy_overhead,,0.01 ms,,"is advantageous in distributed networks like Ethereum 2.0. However, due to high computational cost, BLS is more suitable for scenarios that prioritize aggregation and verificatio",,,no,yes,no
ST-0850,2025,B,Hyperledger Fabric; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education,throughput; latency; fault_tolerance,200; 50; 150 TPS,,"ensures the distributed secure storage of bidding data, enhancing the system’s fault tolerance and resistance to attacks [ 37 ]. In contrast, CP-ABE offers fine-grained acces",,simulation,,yes,no,yes
ST-0853,2022,B,not specified,healthcare; identity/PKI; IoT/edge/CPS; education; transportation/mobility,,,,,,,,no,no,no
ST-0856,2023,B,Hyperledger Fabric; Quorum; Ethereum; Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; education,throughput; latency; fault_tolerance,,,"throughput in recent benchmarks [51, 95]. Moreover, due to the use of Istanbul byzantine fault tolerant (IBFT), it provides a highly secure Byzantine Fault tolerant con",,prototype,,no,no,yes
ST-0859,2023,B,Quorum; Ethereum,healthcare; finance/banking; government/public sector,,,,,,,,no,no,no
ST-0860,2026,A,Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,throughput; latency,,,,,simulation; formal verification,,no,no,no
ST-0862,2025,A,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture,throughput,,,,,,custom benchmark,no,no,no
ST-0863,2022,A,Ethereum,healthcare,,,,,,,,no,no,no
